Date,Strategy1,Strategy2,Strategy3,Strategy4,Strategy5,Strategy6,Strategy7,Strategy8,Strategy9,Strategy10,Strategy11,Strategy12,Strategy13,Strategy14,Strategy15
2010-03-09,-1169,-473949,-53945,-6211,505975,-306269,-51869,-278563,343107,-570327,86333,183004,-207041,432404,11974
2010-03-10,191995,-282308,-455073,-401272,-72161,-228567,-209676,368175,480632,66586,-41377,-361894,317205,217276,466160
2010-03-11,22433,235733,464697,-154563,-181016,251817,-504179,541403,494342,-26259,-52991,200880,384704,-135691,-114769
2010-03-12,80686,64897,-106317,616428,-107779,-478324,-169439,-268410,-346651,121446,70720,261879,-39343,128793,-427348
2010-03-15,-186911,-119558,-168958,277865,-70258,275359,-613067,249210,-454637,-165617,30581,-380168,278134,226984,56535
2010-03-16,474539,-143646,193968,350423,833577,596719,270732,119181,412176,-162369,273261,-518790,-417330,252593,-470306
2010-03-17,-176911,544475,154977,-343256,588800,322314,70509,229620,-50710,258206,-434245,-601913,181322,-115396,-369840
2010-03-18,-100149,-213198,749704,-97915,-112778,380524,-239254,116158,203199,-275155,-219458,-266481,85118,686048,245370
2010-03-19,40122,-244468,185647,-39743,53484,78728,3105,472987,323272,26724,54001,476824,70663,-77225,34277
2010-03-22,-169193,166549,-413190,-26119,-633143,327102,-279825,-510076,-540667,-307879,184180,-631954,-169389,-110360,-129497
2010-03-23,637543,-12774,-44239,193214,145986,-357690,16930,-57852,209383,135813,-114753,-400354,-202864,-79185,256019
2010-03-24,200972,-237652,336941,355705,-45768,415894,-306911,301550,263756,-56503,1235,-479824,-121503,-184704,20455
2010-03-25,-12740,73220,-30496,455673,402084,465905,144010,29034,-25284,203772,-428010,94734,267267,693796,-181921
2010-03-26,-24779,-226140,-565792,469894,-324269,185495,303659,60538,-280767,-411124,-124816,-26965,-580993,8008,142734
2010-03-29,153824,-401004,-16871,395600,-27443,160998,698525,-88116,-443120,-128700,-313495,857963,303623,84513,72876
2010-03-30,38169,111987,-673112,53624,-47164,309664,190333,-232653,-135853,813687,-67360,-273009,262541,317877,83860
2010-03-31,-25832,89838,-614848,102715,-288810,194084,232637,100266,-61668,476713,-103864,53525,-371281,288599,112367
2010-04-01,784030,234467,-293933,372071,322361,138373,-225551,-375991,353409,-248294,102508,658680,-12685,169198,60558
2010-04-02,-375277,-215176,618050,12690,-206082,127273,-262667,-181732,224393,-14022,166560,264300,59895,-90261,313181
2010-04-05,249866,-520693,-318551,139159,-209189,-331318,187150,942550,-618469,-448606,309199,-413086,177223,-149358,396346
2010-04-06,262467,100479,121770,51038,38646,-187664,-94198,-161526,-88719,-23590,73633,154271,-153755,-214993,250824
2010-04-07,-412602,-46708,-6096,313403,-164211,82038,172899,-124167,-9506,457388,-332929,29961,-191052,-105569,17477
2010-04-08,-554447,-285008,-96968,-14561,7269,95163,-252423,-539480,-59332,383341,-352444,147086,-251492,-53013,-102325
2010-04-09,827490,197224,-295377,405672,-37700,228446,-116124,-140224,277395,287923,-163444,369085,-34829,402599,187069
2010-04-12,26879,-143379,16342,50223,58922,292748,361358,94750,-492804,207457,541329,-52701,216104,72180,443208
2010-04-13,469495,-129540,-220659,-181356,-502668,286191,23298,-293960,-42465,-34310,726820,128482,-228221,218193,-57973
2010-04-14,261029,-201374,-22869,-65236,-341822,267301,165592,271541,-5907,150860,307950,-500262,-243781,417001,308657
2010-04-15,398211,239821,-324817,-69288,136209,380247,538353,217545,174611,263346,-16868,172010,320733,-13506,-184464
2010-04-16,196505,201593,3811,329172,63248,-40810,-352544,-15409,290154,7701,-402090,572299,189928,-357654,-227325
2010-04-19,187273,-523881,-186462,168352,581015,-46830,-222608,495576,-170282,448135,260970,250778,-247928,272101,-720447
2010-04-20,-189877,-30876,321206,-221068,-4917,-438960,-267455,139096,-107145,-242864,26904,-673831,395432,-180228,445650
2010-04-21,37725,-28384,291061,-127213,385930,453259,-315780,497630,-298214,-199582,598384,49443,-12444,-369795,-154568
2010-04-22,79715,-164857,556033,105365,205609,48169,53329,-490556,-416042,66021,-60484,-60551,-619560,-40618,209262
2010-04-23,57800,154899,-64870,1391,274745,-112971,-335672,-688611,122366,-112539,-611120,127359,-125627,-79034,246527
2010-04-26,112901,3376,236565,271936,405993,137112,373522,216241,-14142,-240361,481706,385180,244365,67977,317502
2010-04-27,-389604,435806,301251,-514869,-391563,-159229,452384,58528,346646,60211,-2968,370276,3204,187835,36074
2010-04-28,335437,318342,816016,-153677,57762,602876,501376,-319448,-26420,51935,-159001,782784,-138809,-142001,197629
2010-04-29,-214705,97893,540645,-98921,363080,-48008,361817,382775,-231621,439483,124985,-447537,412268,195958,-143087
2010-04-30,525803,340355,70004,102249,-258859,-376533,369009,-81517,-79550,-488245,167759,179984,106730,-250831,105858
2010-05-03,259298,303653,109228,130687,643050,-362855,64905,5831,493902,41053,-788151,379559,443376,-721923,-423640
2010-05-04,325243,29954,-88019,833277,-85988,519782,49908,-53727,206012,495865,-397396,162000,-298226,70071,324636
2010-05-05,550605,-13223,-259962,293019,29227,297638,606991,-135291,142694,-76628,79629,-256160,446056,-30377,-524780
2010-05-06,-616561,-112272,352952,-338518,381502,143080,-747441,-464320,-116612,-113725,43524,-1398,-219962,-289983,110021
2010-05-07,-123338,-125324,-202147,498294,-68927,41636,-307542,-228890,344037,-59753,400240,-96855,272109,442576,-151940
2010-05-10,-141738,-212962,89795,138521,90208,105812,10319,467420,93340,221743,368500,-9251,-609626,35015,257738
2010-05-11,-285152,-300660,-35773,20241,-206812,151106,-310868,-224669,349933,549554,-15251,171318,336224,-152964,-490961
2010-05-12,184290,137772,102284,582434,163023,-429072,-53243,-290841,-821406,-310892,-460770,-45842,222200,-339584,-229229
2010-05-13,-51582,-72301,-103097,-195880,419017,-36801,696320,289805,-203873,-507623,273811,646147,-541085,-80112,18266
2010-05-14,-52497,-10834,54865,283216,-107725,-162360,-118694,174984,-186219,-11541,-566482,22294,-562816,144323,-44161
2010-05-17,370935,-209749,-21764,303890,579765,77748,-603114,-101807,-324757,137748,-187090,-587230,131582,-23558,-208094
2010-05-18,60684,358009,167769,8978,-197337,128120,237202,125015,86554,-201653,278383,-64567,270048,-8736,-75779
2010-05-19,694392,255009,387110,364775,205459,89848,-65549,-136611,531261,174001,215526,-236862,-273541,635598,151545
2010-05-20,-91084,-109570,20291,-111336,-298860,485422,188692,-167399,32550,109489,230422,53703,-67145,-89059,-699838
2010-05-21,-308551,-127809,-134969,326837,-78613,347275,-291114,245351,-273417,126633,14561,-50631,431282,-205718,94834
2010-05-24,40602,331039,107796,247606,10056,287739,639169,-202749,575875,432199,-262907,110254,45605,21971,-304079
2010-05-25,-304567,224009,85455,505174,-303244,-184147,114866,-343519,-47108,624220,-354954,-148072,79142,137743,-257467
2010-05-26,-42907,-362792,-9686,389857,-468857,135046,-219452,-41184,-156027,136068,237776,403551,578169,272687,-267009
2010-05-27,-50079,-350954,-606474,313050,193735,77394,-104167,-597529,237969,-419934,-12548,-272429,421520,109218,110907
2010-05-28,111592,250921,344138,91090,260519,493933,-323297,353239,-252480,-117115,610787,99604,155620,-434421,225660
2010-05-31,-536227,-29049,195060,185883,-458773,297612,-253724,-164159,-434540,-25508,607451,374372,375469,-380256,-72149
2010-06-01,-189547,525473,26932,119657,455163,-299279,185041,466428,-477157,-290144,-72255,-378691,316102,67940,78154
2010-06-02,120019,-237214,311377,-174768,74004,-10800,-453076,410941,-114175,252022,-230574,-4094,162009,88413,-286834
2010-06-03,120161,381977,-391147,-386851,294975,303760,-155869,-89132,-68156,-203733,-345684,239974,-359141,272932,354577
2010-06-04,151678,481104,-176162,-290002,127356,-157304,159163,-136375,-215136,-574408,-954157,-260582,74072,246483,-397312
2010-06-07,-36525,-12386,233160,112568,382673,170451,-289071,137663,55106,23966,-20754,-125588,35982,-909628,267435
2010-06-08,221561,300283,58989,416174,452801,30829,115778,100435,-185900,222337,52347,-144394,7992,-464573,658781
2010-06-09,381399,103222,-168306,53978,-102586,97673,-277777,-409742,-269753,-476593,-544875,735740,72495,-86783,-120806
2010-06-10,51318,306699,-596306,-12441,-683616,343119,518714,-417761,957788,565321,-5704,-361170,290556,-223088,-378938
2010-06-11,293355,-422688,-333807,446963,-88031,253886,-61534,-33991,414308,-64165,-362057,-367404,400398,91928,-277231
2010-06-14,434626,658781,32239,403898,228300,225621,534655,94580,-106486,81348,-164762,-81616,-226513,-231273,11456
2010-06-15,176406,282350,157247,-197773,286559,-34994,-138416,214233,509882,396721,128207,-190220,13082,469454,-296142
2010-06-16,208329,25516,477783,-143455,-221883,-210171,-153329,474125,-61832,60579,734176,-73025,-244724,-115253,-100843
2010-06-17,53536,151305,-656918,232958,-377383,-402599,-154407,775322,-363739,208182,-116398,42965,193635,-278781,-45356
2010-06-18,442454,167029,187674,104794,-64003,128266,400646,-421094,188265,189255,-124736,-11054,190762,178390,-245294
2010-06-21,261723,272083,114161,-268451,-127966,35182,-445206,126040,-69226,-188071,-245799,-398,-197423,-149397,-232612
2010-06-22,45176,53417,-222724,644051,124365,-362711,-412959,-229448,-122914,-383697,64175,-95237,-562001,-185596,23606
2010-06-23,-70341,236784,79808,-97737,287117,-210579,403453,-23926,-328086,-258569,-257181,-365404,-428519,-69636,10774
2010-06-24,248811,-433970,164652,58307,-28047,95673,-909858,-310302,243799,-106132,-278299,272664,-244609,-7920,-44305
2010-06-25,478080,-43522,133166,-80823,-583845,247993,236748,-113767,259604,-368169,374349,-529350,15,-13077,769469
2010-06-28,-494422,298610,287112,-157954,130062,84584,356421,637698,-176986,-695682,656168,192532,-364145,160511,232758
2010-06-29,-53691,366895,-146077,-340861,81796,227930,-110181,-425191,5980,-236568,-667180,-228865,191669,99257,33711
2010-06-30,-475026,-56155,409509,18035,109713,-31403,-655081,560658,67510,-236947,542991,-102205,287916,-100340,77420
2010-07-01,286993,235345,87945,-144860,-15944,553959,334363,404990,-174920,134061,274434,-65587,-509799,24854,252103
2010-07-02,117519,-199075,-377875,261318,578547,-164776,144580,-87406,73656,606467,-132383,179783,-233143,78276,-485086
2010-07-05,-219264,467932,331,-105769,-217952,151078,-10894,-301922,226786,371153,-503020,-146836,30003,127587,424803
2010-07-06,752156,465269,-4140,236153,-62082,-560582,-727029,501662,256546,150231,-88981,500352,-102103,489497,233058
2010-07-07,858694,208523,-338975,153164,203380,179506,-167503,140636,334577,-716327,133585,-142425,-17486,116881,262139
2010-07-08,-500002,-278775,408086,259784,238073,354515,-140189,-92026,-235223,92174,130465,189887,257394,27765,-106355
2010-07-09,-864529,77261,-159522,-355908,-346520,49957,-296971,-795679,190400,-75984,540456,-76547,565800,358617,60657
2010-07-12,174038,154878,-172077,245114,396506,450559,-54190,212185,136586,353472,628147,-326871,718904,-19323,640103
2010-07-13,15734,-463707,119425,-55735,-265581,-205382,262534,24399,275047,82803,191277,12534,175149,73183,-27987
2010-07-14,-295764,93403,107770,146024,-161272,-546708,198621,20087,-32925,-61010,387460,-72559,181886,-68807,-322747
2010-07-15,-276599,-84505,-333604,-171336,14863,424083,191411,147047,85516,-436935,331234,-478299,20796,-809684,-313865
2010-07-16,-927808,-419381,290617,97811,53759,311880,42162,46620,265449,-23474,220609,240633,306072,349898,-513390
2010-07-19,150452,258448,-11433,261847,136047,-613194,-751574,-65636,-157418,-98907,334635,115110,-194672,-348333,232147
2010-07-20,256550,560813,-329956,-805488,-206684,-162941,-259326,40490,258224,359054,535452,546721,459238,19146,574748
2010-07-21,-764012,139833,331999,-137748,298880,-236811,398796,-155435,193496,-70236,224785,-51383,674307,99133,182791
2010-07-22,204543,-218474,-38327,-169510,361396,-17051,5135,302440,59977,-221803,309768,570610,722961,-281874,-89287
2010-07-23,-716473,-229501,-80424,338990,-397365,556649,443775,-534829,58907,462565,-550738,-245488,363966,-24536,398690
2010-07-26,144510,325465,321643,-99446,-30198,97199,579787,164248,-597320,-228335,397321,53023,122375,609052,53930
2010-07-27,32300,307265,423619,345014,254235,-133060,-157916,818248,53550,-47803,81340,74735,187849,-363034,-142439
2010-07-28,-181263,-26538,-256865,161833,63663,203121,215733,260015,189545,293606,11791,120599,131509,356258,-455354
2010-07-29,-697291,223562,596171,-203666,37921,419043,231864,-187930,-277701,-626089,69612,-1550,98029,71911,228170
2010-07-30,-105243,-188238,246927,-90846,-215737,58629,162677,-410096,296832,-208178,-86346,-149890,-843940,479689,-62424
2010-08-02,165149,365081,124839,180357,-98159,-500813,-113702,-12300,384854,-405696,-63306,427532,200299,-157344,-27077
2010-08-03,-489067,-592181,371879,707003,-458211,96108,855130,-177247,-173646,113169,344133,-283542,343558,-37961,-195940
2010-08-04,116502,-371390,-176473,-427379,264602,-333116,-226960,168234,281888,-21980,-666102,344595,236974,-239705,1132690
2010-08-05,-452688,81539,205495,405649,-214652,-403258,200559,-498438,439628,-50014,245233,-16841,239544,44573,292892
2010-08-06,-63642,503496,-411506,-202245,75450,-350718,68181,-69351,-59260,500044,67648,162389,-109323,-34177,276342
2010-08-09,-167557,35718,628507,88929,-390654,-192307,402394,-125558,-529279,25511,227589,248296,-372777,209148,-134075
2010-08-10,96651,-70388,392161,92253,232065,-585177,-35355,457451,337295,470726,251211,-100459,419574,140766,165839
2010-08-11,-152776,102660,357042,79090,-318084,-348440,37179,-23321,128823,82909,-110033,-126367,-327075,-215353,-228290
2010-08-12,-654830,240342,702693,-159173,496286,417225,-531470,-257417,-101299,586419,319955,389462,-133238,238650,126726
2010-08-13,237359,223834,33992,42926,-151461,237267,-220303,-167609,402072,34798,-211037,626624,606647,779332,414424
2010-08-16,-648031,542206,-191796,46007,-382522,131332,-359159,106075,-162842,-55567,47326,-511334,316307,-128082,-145464
2010-08-17,341128,4234,334940,130534,-462271,-97063,430103,346460,443089,337974,472580,-204872,-13006,-43627,-42924
2010-08-18,235185,228845,368374,-332862,47869,192740,-33983,194319,86312,-339954,5430,81860,-84211,11911,-328068
2010-08-19,90428,78624,333019,169841,292603,-218885,370383,-607516,-663719,4465,-326646,-245830,351574,-545048,507951
2010-08-20,-240946,-22684,206943,-397090,-421174,-199093,-15723,-189624,132308,-349989,371299,278002,-115363,591747,174445
2010-08-23,470658,302877,-117837,320548,-651282,16454,-75055,173164,513953,137426,-11214,-4465,-260847,-372368,513876
2010-08-24,47123,291963,13481,-108755,26409,130311,634411,211391,426043,190584,-574983,664971,60580,21542,-468663
2010-08-25,323197,216973,-108894,171515,-136737,-274095,-156408,396596,399042,21216,-202043,483163,225224,-483235,226884
2010-08-26,172542,403676,316447,263173,-178246,-16401,-315813,26677,-259584,-252997,-204582,25874,129605,-216817,-61682
2010-08-27,-131945,138706,429759,43824,415631,240528,-354123,-486508,63072,-895485,83419,-73564,-69637,-134857,-282518
2010-08-30,-359761,427643,-306236,165985,-289822,-415005,205228,313503,-111951,-83668,-143631,424164,348467,29577,239735
2010-08-31,-38523,-502059,-128173,195707,308856,-331695,-103895,-128158,206130,157566,400586,280306,828692,-478563,26609
2010-09-01,778317,266041,239278,-553760,369051,68293,19436,-120869,-135712,190427,44190,-91297,-4815,167970,-173885
2010-09-02,-39737,240327,-372773,875506,29786,66023,220399,698442,216862,-267206,-151449,72238,265977,-41880,313675
2010-09-03,16522,-32965,607965,-527,-264207,-113291,183663,243484,8628,-37087,42077,179581,-231318,-392362,-268451
2010-09-06,-64370,3680,-202502,-88368,-337364,3629,610538,-8554,74233,-520783,-76346,638482,-115570,45221,-66725
2010-09-07,-482675,-31453,-94635,9311,-303799,210840,-8020,-286348,769204,-13873,-257952,-291754,355032,534641,-31448
2010-09-08,202529,172773,346555,17265,-11631,-533447,134166,105858,103211,7845,192878,313230,-93661,102349,-290236
2010-09-09,396450,-91088,40055,-138850,-21178,-136215,-426286,-282986,-814299,631,241528,-206667,422530,-452201,170755
2010-09-10,-83862,665364,294311,416978,-60670,-55004,-371641,-187249,34967,-844623,-250029,194136,232258,51964,281716
2010-09-13,-50066,-154551,-127465,40082,324041,-100954,149493,-84176,253544,-543969,131776,226234,339687,48084,47858
2010-09-14,-91593,-345639,33115,198032,-229887,311431,66621,174593,84220,395322,293994,-550,71759,-329085,-334
2010-09-15,-218538,124898,410495,-205517,100211,64079,23619,295599,312945,274899,-113140,-80388,23149,-234004,-181922
2010-09-16,295769,166814,-330295,-251611,-569012,213406,384167,-89804,190526,323559,-162490,829672,-267749,178735,375642
2010-09-17,24890,39397,335462,-359452,531936,-184598,-252541,-298434,-283538,631,-45329,-96882,35232,134109,-981
2010-09-20,335304,624144,13382,105165,454969,-548076,501471,216919,300232,49246,458380,-330265,35107,26381,186231
2010-09-21,45474,-116555,235400,-192148,-98074,594168,139168,-544904,-74543,-12321,76713,298457,-70405,264733,-56091
2010-09-22,-247752,-198816,163237,917872,-583665,488750,-53491,184826,486276,269922,335455,37913,34610,-185694,152330
2010-09-23,-121228,-333830,-501434,200740,146177,396466,-153952,504360,128243,206024,402290,161026,180678,93121,-239573
2010-09-24,23010,307701,-318519,-187164,288408,324580,69905,-428200,-277926,568824,-289362,232514,59712,374479,-702445
2010-09-27,339260,-286585,253335,942391,510198,-248525,433037,427267,234125,128235,-645695,234029,-633571,11265,115387
2010-09-28,-1596,-496871,15290,407320,236474,275517,-333566,23980,78441,-342993,-352557,-8481,465198,-249312,241771
2010-09-29,360776,-212445,-21254,-57437,163039,-124281,660064,6935,-393229,446788,537445,-180093,427970,-470,-66558
2010-09-30,69034,285439,-47356,-2752,141144,78303,58181,-178689,202377,354211,140355,9253,547082,-420880,160576
2010-10-01,182493,-7395,272514,-456009,-127104,918329,538872,-364087,346293,374651,178671,-97067,259229,-34741,-276169
2010-10-04,-45538,-351723,21880,232233,302604,-72647,-19654,-70968,35229,88245,-113333,248618,31466,570985,196553
2010-10-05,-75490,217195,-242815,109522,1132191,82808,-256294,-70344,7203,6964,468510,-453432,-184825,329973,911718
2010-10-06,-32181,-194259,236117,54743,562739,-13384,-572928,41762,326968,60497,19418,534714,-232693,291077,383889
2010-10-07,383349,177682,-164137,-524028,270802,432262,307924,-438824,159857,7334,-464034,344413,-185272,-33902,-349090
2010-10-08,281510,1767,-505263,401642,413500,160028,726162,519624,-372446,27909,302564,-211450,242544,-65168,-101700
2010-10-11,-213353,-183236,347380,-414903,-80481,-279083,691394,668493,296279,115221,-559505,226194,-245282,7476,-503517
2010-10-12,392356,4105,95301,-223341,-185042,-214673,-457440,-198833,55595,-123383,-335111,33738,-348149,-272493,-290088
2010-10-13,366912,-268136,55268,300978,771999,339127,-225788,-238146,-133537,591571,-63971,172744,467585,-139632,372611
2010-10-14,-462500,300355,201217,542844,-105875,368456,120988,-391891,308648,472543,42443,374442,-114041,184747,10707
2010-10-15,36156,421222,65932,185982,-121640,168487,9459,-67164,-65863,429751,-505795,-182908,-615322,194293,131967
2010-10-18,-363497,82745,126999,-551472,109794,214840,162639,351365,499108,370604,243147,848291,-289208,14267,-112148
2010-10-19,472590,-358260,415979,-114808,-57551,109647,168221,-12474,-145330,67803,488804,-268936,-31903,-369428,374718
2010-10-20,49792,171393,242708,-823967,-96138,127125,264964,178562,-99280,523892,71110,-25720,-385039,-395026,-117532
2010-10-21,455787,422618,385583,-282724,-407846,-178585,-17934,303849,368525,242391,2438,-621906,-255597,-331982,436821
2010-10-22,-117311,367153,-316592,-240101,-228462,45042,148775,13300,50712,145620,-346927,326481,27349,-172676,-419144
2010-10-25,643309,-631329,116930,170829,-250896,285703,-216285,-89115,83509,63238,316872,-236521,-43744,296433,-152001
2010-10-26,661861,-102545,493324,-446411,14768,-80918,-309085,6683,-75679,-221202,64686,181576,-288118,-197495,-46823
2010-10-27,316618,-691969,-148981,427570,-51726,-205163,-682013,262029,-46798,-531024,-278324,-177698,-44549,-162337,7900
2010-10-28,-527320,371934,-847100,111372,-26378,646918,472536,-71569,-480405,-718137,-551976,683118,-320802,-157747,10519
2010-10-29,423847,4071,117909,811,147377,408252,-44182,141790,266499,404422,35429,430974,265720,-166907,-283039
2010-11-01,432369,316703,336640,-145932,-415603,128224,204700,-291777,21290,47022,416621,-210734,-42577,550371,317946
2010-11-02,-236915,-36083,-73045,644683,-261723,-342744,784071,91880,34278,188086,-50937,-342356,29185,-263900,-611119
2010-11-03,-137601,-333817,234451,-344906,97643,438621,-641891,128168,-156332,134478,-364862,-13680,265186,140629,-5480
2010-11-04,-262814,-366657,-18749,210638,455941,268030,58004,327168,-44562,-551095,-93743,-705197,503101,-442918,-328277
2010-11-05,188327,428221,-295511,-309582,126611,-302690,-321107,498393,197051,-104396,115370,891,29289,245607,705871
2010-11-08,348758,558546,201564,-128552,269521,310581,-344894,-20223,-285591,-189293,388726,-47593,197915,13401,-81498
2010-11-09,-480205,695831,-51609,467373,51343,227800,-56535,-195183,159970,-436328,-139676,315802,-108249,42284,29227
2010-11-10,-393091,67442,403976,481366,228221,100234,-179174,202707,288164,-183504,453401,437163,141861,-91629,396209
2010-11-11,14791,659108,176421,483381,473338,-252210,-497968,349661,-349176,-119789,-315528,353909,42197,-449755,-189150
2010-11-12,-33059,107664,257642,54140,118105,-208258,-912295,-354027,-86111,110077,460132,45464,506110,122902,578481
2010-11-15,472470,-8608,292577,-128908,-364596,123993,-535094,344985,199015,327031,82005,-454891,141307,175973,231353
2010-11-16,130970,193598,712386,-70106,21945,191326,-115133,784085,359969,-466940,-122178,-306573,413311,231226,-211922
2010-11-17,58028,-145415,-490650,89526,346666,-323004,-234320,-281874,304215,-489713,838729,-22228,-64694,-403112,319945
2010-11-18,241485,258060,566366,20357,-54161,-40094,450169,-201965,580877,513676,-78203,-172418,-578787,35555,-59902
2010-11-19,-293109,32337,-391888,-93407,434193,-118406,-497769,163428,129779,-547375,423473,702936,356226,-127158,259335
2010-11-22,-120515,399737,-181374,250755,-399789,397868,9882,-382921,779312,17225,370072,-572542,366669,364665,206853
2010-11-23,328495,-97003,-208446,61888,362318,58619,-12542,296216,228199,-67855,199131,-138519,413919,759085,55434
2010-11-24,-669712,377487,310544,-189995,-265577,-474129,268346,-460460,-204755,259751,-292413,-82394,-414096,-107305,-756145
2010-11-25,290262,114914,92572,-8307,610938,84819,-146726,-70968,222631,-100250,195324,-293138,-430874,-71076,981036
